id,name,now_cost,position,team,ict_index_rank_type,creativity_rank,penalties_order,clean_sheets,transfers_out,minutes,value_form,expected_goal_involvements_per_90,corners_and_indirect_freekicks_order,transfers_in_event,assists,expected_assists_per_90,form,selected_by_percent,direct_freekicks_order,goals_scored,starts,event_points,points_per_game_rank,starts_per_90,expected_goals,news_added,ep_this,value_season,points_per_game,red_cards,transfers_in,transfers_out_event,goals_conceded_per_90,clean_sheets_per_90,in_dreamteam,selected_rank_type,chance_of_playing_this_round,news,saves_per_90,expected_goals_per_90,form_rank,form_rank_type,ep_next,now_cost_rank,points_per_game_rank_type,dreamteam_count,expected_goal_involvements,selected_rank,web_name,chance_of_playing_next_round,threat_rank_type,goals_conceded,saves,now_cost_rank_type,threat_rank,influence_rank,bps,status,expected_assists,expected_goals_conceded,total_points,ict_index_rank,influence_rank_type,creativity_rank_type,expected_goals_conceded_per_90
66,Lewis Cook,50,MID,Bournemouth,115,397,,0,14,0,0.0,0.0,,2,0,0.0,0.0,0.0,,0,0,0,415,0.0,0.00,,1.6,0.0,0.0,0,2,14,0.0,0.0,False,215,,,0.0,0.0,415,126,1.1,205,126,0,0.00,560,L.Cook,,115,0,0,131,397,397,0,a,0.00,0.00,0,397,115,115,0.0
67,Siriki Dembélé,45,MID,Bournemouth,28,258,,0,11,0,0.0,0.0,,0,0,0.0,0.0,0.0,,0,0,0,285,0.0,0.00,2023-07-17T06:20:36.127600Z,0.0,0.0,0.0,0,0,11,0.0,0.0,False,265,0.0,Permanent Transfer to Birmingham,0.0,0.0,285,42,0.0,454,42,0,0.00,632,Siriki,0.0,28,0,0,225,258,258,0,u,0.00,0.00,0,258,28,28,0.0
68,Ryan Fredericks,45,DEF,Bournemouth,79,132,,0,44,0,0.0,0.0,,1,0,0.0,0.0,0.0,,0,0,0,161,0.0,0.00,2023-08-06T23:30:05.414382Z,0.0,0.0,0.0,0,1,44,0.0,0.0,False,202,0.0,Calf injury - Unknown return date,0.0,0.0,161,88,0.0,328,88,0,0.00,562,Fredericks,0.0,79,0,0,50,132,132,0,i,0.00,0.00,0,132,79,79,0.0
69,James Hill,40,DEF,Bournemouth,51,90,,0,27,0,0.0,0.0,,42,0,0.0,0.0,0.2,,0,0,0,120,0.0,0.00,,1.0,0.0,0.0,0,42,27,0.0,0.0,False,118,,,0.0,0.0,120,61,0.5,626,61,0,0.00,311,Hill,,51,0,0,202,90,90,0,a,0.00,0.00,0,90,51,51,0.0
70,Lloyd Kelly,45,DEF,Bournemouth,157,249,,0,18,0,0.0,0.0,,0,0,0.0,0.0,0.0,,0,0,0,276,0.0,0.00,2023-07-26T15:30:04.054546Z,0.0,0.0,0.0,0,0,18,0.0,0.0,False,210,0.0,Knock - Unknown return date,0.0,0.0,276,164,0.0,445,164,0,0.00,603,Kelly,0.0,157,0,0,128,249,249,0,i,0.00,0.00,0,249,157,157,0.0
71,Gavin Kilkenny,45,MID,Bournemouth,39,282,,0,19,0,0.0,0.0,,36,0,0.0,0.0,0.1,,0,0,0,306,0.0,0.00,,1.0,0.0,0.0,0,36,19,0.0,0.0,False,159,,,0.0,0.0,306,52,0.5,478,52,0,0.00,453,Kilkenny,,39,0,0,236,282,282,0,a,0.00,0.00,0,282,39,39,0.0
72,Justin Kluivert,50,MID,Bournemouth,147,444,,0,89,0,0.0,0.0,,77,0,0.0,0.0,0.5,,0,0,0,457,0.0,0.00,,1.6,0.0,0.0,0,77,89,0.0,0.0,False,71,,,0.0,0.0,457,154,1.1,252,154,0,0.00,220,Kluivert,,147,0,0,163,444,444,0,a,0.00,0.00,0,444,147,147,0.0
73,Jamal Lowe,50,MID,Bournemouth,108,386,,0,5,0,0.0,0.0,,4,0,0.0,0.0,0.0,,0,0,0,405,0.0,0.00,,1.6,0.0,0.0,0,4,5,0.0,0.0,False,240,,,0.0,0.0,405,119,1.1,194,119,0,0.00,597,Lowe,,108,0,0,124,386,386,0,a,0.00,0.00,0,386,108,108,0.0
74,Emiliano Marcondes,45,MID,Bournemouth,7,162,,0,14,0,0.0,0.0,,19,0,0.0,0.0,0.0,,0,0,0,191,0.0,0.00,,1.0,0.0,0.0,0,19,14,0.0,0.0,False,197,,,0.0,0.0,191,21,0.5,358,21,0,0.00,533,Marcondes,,7,0,0,204,162,162,0,a,0.00,0.00,0,162,7,7,0.0
75,Chris Mepham,45,DEF,Bournemouth,148,234,,0,32,0,0.0,0.0,,6,0,0.0,0.0,0.1,,0,0,0,261,0.0,0.00,,2.0,0.0,0.0,0,6,32,0.0,0.0,False,167,,,0.0,0.0,261,155,1.5,430,155,0,0.00,441,Mepham,,148,0,0,119,234,234,0,a,0.00,0.00,0,234,148,148,0.0
76,Kieffer Moore,50,FWD,Bournemouth,24,387,,0,114,0,0.0,0.0,,100,0,0.0,0.0,0.5,,0,0,0,406,0.0,0.00,,1.4,0.0,0.0,0,100,114,0.0,0.0,False,41,,,0.0,0.0,406,28,0.9,195,28,0,0.00,223,Moore,,24,0,0,44,387,387,0,a,0.00,0.00,0,387,24,24,0.0
77,Norberto Murara Neto,45,GKP,Bournemouth,49,127,,0,95,0,0.0,0.0,,95,0,0.0,0.0,0.8,,0,0,0,156,0.0,0.00,,2.3,0.0,0.0,0,95,95,0.0,0.0,False,26,,,0.0,0.0,156,51,1.8,323,51,0,0.00,191,Neto,,49,0,0,16,127,127,0,a,0.00,0.00,0,127,49,49,0.0
78,Dango Ouattara,50,MID,Bournemouth,177,492,,0,12,0,0.0,0.0,,5,0,0.0,0.0,0.1,,0,0,0,500,0.0,0.00,,1.6,0.0,0.0,0,5,12,0.0,0.0,False,178,,,0.0,0.0,500,181,1.1,300,181,0,0.00,499,O.Dango,,177,0,0,193,492,492,0,a,0.00,0.00,0,492,177,177,0.0
79,Ben Pearson,45,MID,Bournemouth,10,169,,0,0,0,0.0,0.0,,0,0,0.0,0.0,0.0,,0,0,0,198,0.0,0.00,2023-07-11T08:58:20.803049Z,0.0,0.0,0.0,0,0,0,0.0,0.0,False,273,0.0,Permanent transfer to Stoke City,0.0,0.0,198,24,0.0,365,24,0,0.00,642,Pearson,0.0,10,0,0,207,169,169,0,u,0.00,0.00,0,169,10,10,0.0
80,Darren Randolph,40,GKP,Bournemouth,5,5,,0,51,0,0.0,0.0,,144,0,0.0,0.0,0.7,,0,0,0,36,0.0,0.00,,1.0,0.0,0.0,0,144,51,0.0,0.0,False,31,,,0.0,0.0,36,7,0.5,541,7,0,0.00,204,Randolph,,5,0,0,34,5,5,0,a,0.00,0.00,0,5,5,5,0.0
81,Joe Rothwell,50,MID,Bournemouth,116,398,,0,9,0,0.0,0.0,2.0,1,0,0.0,0.0,0.0,4.0,0,0,0,416,0.0,0.00,,1.6,0.0,0.0,0,1,9,0.0,0.0,False,242,,,0.0,0.0,416,127,1.1,206,127,0,0.00,599,Rothwell,,116,0,0,132,398,398,0,a,0.00,0.00,0,398,116,116,0.0
82,Antoine Semenyo,45,FWD,Bournemouth,14,277,,0,229,0,0.0,0.0,,41,0,0.0,0.0,0.8,,0,0,0,302,0.0,0.00,2023-08-06T23:30:05.439700Z,0.8,0.0,0.0,0,41,229,0.0,0.0,False,35,75.0,Lack of match fitness - 75% chance of playing,0.0,0.0,302,18,0.4,473,18,0,0.00,188,Semenyo,75.0,14,0,0,75,277,277,0,d,0.00,0.00,0,277,14,14,0.0
83,Marcos Senesi,45,DEF,Bournemouth,142,226,,0,30,0,0.0,0.0,,10,0,0.0,0.0,0.2,,0,0,0,253,0.0,0.00,,2.0,0.0,0.0,0,10,30,0.0,0.0,False,140,,,0.0,0.0,253,149,1.5,422,149,0,0.00,363,Senesi,,142,0,0,113,226,226,0,a,0.00,0.00,0,226,142,142,0.0
84,Adam Smith,45,DEF,Bournemouth,70,118,,0,39,0,0.0,0.0,,2,0,0.0,0.0,0.0,,0,0,0,147,0.0,0.00,2023-08-06T23:30:05.454428Z,0.0,0.0,0.0,0,2,39,0.0,0.0,False,200,0.0,Muscle injury - Unknown return date,0.0,0.0,147,79,0.0,314,79,0,0.00,555,Smith,0.0,70,0,0,41,118,118,0,i,0.00,0.00,0,118,70,70,0.0
85,Dominic Solanke,65,FWD,Bournemouth,66,595,1.0,0,621,0,0.0,0.0,,377,0,0.0,0.0,3.1,,0,0,0,599,0.0,0.00,,2.2,0.0,0.0,0,377,621,0.0,0.0,False,18,,,0.0,0.0,599,68,1.7,46,68,0,0.00,101,Solanke,,66,0,0,17,595,595,0,a,0.00,0.00,0,595,66,66,0.0
86,Marcus Tavernier,55,MID,Bournemouth,204,533,,0,35,0,0.0,0.0,4.0,1,0,0.0,0.0,0.0,3.0,0,0,0,539,0.0,0.00,2023-07-26T15:30:04.076941Z,0.0,0.0,0.0,0,1,35,0.0,0.0,False,213,0.0,Knock - Unknown return date,0.0,0.0,539,207,0.0,117,207,0,0.00,557,Tavernier,0.0,204,0,0,72,533,533,0,i,0.00,0.00,0,533,204,204,0.0
87,Hamed Traorè,50,MID,Bournemouth,157,461,,0,8,0,0.0,0.0,1.0,6,0,0.0,0.0,0.0,6.0,0,0,0,473,0.0,0.00,,1.6,0.0,0.0,0,6,8,0.0,0.0,False,230,,,0.0,0.0,473,163,1.1,269,163,0,0.00,578,Hamed Traorè,,157,0,0,173,461,461,0,a,0.00,0.00,0,461,157,157,0.0
88,Mark Travers,40,GKP,Bournemouth,35,64,,0,182,0,0.0,0.0,,0,0,0.0,0.0,0.2,,0,0,0,95,0.0,0.00,2023-07-28T08:25:34.409705Z,0.0,0.0,0.0,0,0,182,0.0,0.0,False,53,0.0,On loan to Stoke City for the season,0.0,0.0,95,37,0.0,600,37,0,0.00,335,Travers,0.0,35,0,0,64,64,64,0,u,0.00,0.00,0,64,35,35,0.0
89,Illia Zabarnyi,45,DEF,Bournemouth,174,300,,0,17,0,0.0,0.0,,4,0,0.0,0.0,0.1,,0,0,0,323,0.0,0.00,,2.0,0.0,0.0,0,4,17,0.0,0.0,False,171,,,0.0,0.0,323,179,1.5,496,179,0,0.00,454,Zabarnyi,,174,0,0,145,300,300,0,a,0.00,0.00,0,300,174,174,0.0
595,Milos Kerkez,45,DEF,Bournemouth,180,335,,0,25,0,0.0,0.0,,20,0,0.0,0.0,0.2,,0,0,0,358,0.0,0.00,,2.0,0.0,0.0,0,20,25,0.0,0.0,False,119,,,0.0,0.0,358,185,1.5,531,185,0,0.00,314,Kerkez,,180,0,0,151,335,335,0,a,0.00,0.00,0,335,180,180,0.0
607,Ionuț Radu,45,GKP,Bournemouth,59,218,,0,33,0,0.0,0.0,,6,0,0.0,0.0,0.1,,0,0,0,246,0.0,0.00,,2.3,0.0,0.0,0,6,33,0.0,0.0,False,61,,,0.0,0.0,246,61,1.8,414,61,0,0.00,427,Radu,,59,0,0,26,218,218,0,a,0.00,0.00,0,218,59,59,0.0
619,Ben Greenwood,40,DEF,Bournemouth,53,93,,0,26,0,0.0,0.0,,83,0,0.0,0.0,0.1,,0,0,0,123,0.0,0.00,,1.0,0.0,0.0,0,83,26,0.0,0.0,False,158,,,0.0,0.0,123,63,0.5,629,63,0,0.00,418,Greenwood,,53,0,0,204,93,93,0,a,0.00,0.00,0,93,53,53,0.0
643,Max Aarons,45,DEF,Bournemouth,155,245,,0,17,0,0.0,0.0,,131,0,0.0,0.0,0.1,,0,0,0,272,0.0,0.00,,2.0,0.0,0.0,0,131,17,0.0,0.0,False,183,,,0.0,0.0,272,162,1.5,441,162,0,0.00,482,Aarons,,155,0,0,126,245,245,0,a,0.00,0.00,0,245,155,155,0.0
644,Alex Scott,50,MID,Bournemouth,173,486,,0,33,0,0.0,0.0,,47,0,0.0,0.0,0.0,,0,0,0,495,0.0,0.00,2023-08-11T16:00:09.116839Z,0.0,0.0,0.0,0,47,33,0.0,0.0,False,251,0.0,Knee injury - Unknown return date,0.0,0.0,495,178,0.0,294,178,0,0.00,613,Scott,0.0,173,0,0,189,486,486,0,i,0.00,0.00,0,486,173,173,0.0
90,Kristoffer Ajer,45,DEF,Brentford,117,192,,0,41,0,0.0,0.0,,62,0,0.0,0.0,0.3,,0,0,0,221,0.0,0.00,,2.0,0.0,0.0,0,62,41,0.0,0.0,False,102,,,0.0,0.0,221,126,2.0,388,126,0,0.00,280,Ajer,,117,0,0,88,192,192,0,a,0.00,0.00,0,192,117,117,0.0
91,Ellery Balcombe,40,GKP,Brentford,36,69,,0,18,0,0.0,0.0,,79,0,0.0,0.0,0.3,,0,0,0,100,0.0,0.00,,1.0,0.0,0.0,0,79,18,0.0,0.0,False,46,,,0.0,0.0,100,38,1.0,605,38,0,0.00,290,Balcombe,,36,0,0,65,69,69,0,a,0.00,0.00,0,69,36,36,0.0
92,Shandon Baptiste,45,MID,Brentford,34,268,,0,571,0,0.0,0.0,,424,0,0.0,0.0,3.5,,0,0,0,295,0.0,0.00,,1.0,0.0,0.0,0,424,571,0.0,0.0,False,32,,,0.0,0.0,295,48,1.0,464,48,0,0.00,90,Baptiste,,34,0,0,231,268,268,0,a,0.00,0.00,0,268,34,34,0.0
93,Mads Bech Sørensen,40,DEF,Brentford,29,63,,0,30,0,0.0,0.0,,39,0,0.0,0.0,0.2,,0,0,0,94,0.0,0.00,,1.0,0.0,0.0,0,39,30,0.0,0.0,False,127,,,0.0,0.0,94,40,1.0,599,40,0,0.00,338,Bech,,29,0,0,180,63,63,0,a,0.00,0.00,0,63,29,29,0.0
94,Mads Bidstrup,45,MID,Brentford,52,303,,0,6,0,0.0,0.0,,0,0,0.0,0.0,0.0,,0,0,0,326,0.0,0.00,2023-07-19T08:50:35.624414Z,0.0,0.0,0.0,0,0,6,0.0,0.0,False,271,0.0,Transfer to Red Bull Salzburg on a permanent basis,0.0,0.0,326,65,0.0,499,65,0,0.00,639,Bidstrup,0.0,52,0,0,249,303,303,0,u,0.00,0.00,0,303,52,52,0.0
95,Sergi Canós Tenés,50,MID,Brentford,125,408,,0,13,0,0.0,0.0,,18,0,0.0,0.0,0.0,,0,0,0,424,0.0,0.00,,1.6,0.0,0.0,0,18,13,0.0,0.0,False,190,,,0.0,0.0,424,134,1.6,216,134,0,0.00,520,Canós,,125,0,0,141,408,408,0,a,0.00,0.00,0,408,125,125,0.0
96,Nathan Collins,45,DEF,Brentford,164,271,,0,34,0,0.0,0.0,,31,0,0.0,0.0,0.3,,0,0,0,296,0.0,0.00,,2.0,0.0,0.0,0,31,34,0.0,0.0,False,104,,,0.0,0.0,296,171,2.0,467,171,0,0.00,283,Collins,,164,0,0,135,271,271,0,a,0.00,0.00,0,271,164,164,0.0
97,Matthew Cox,40,GKP,Brentford,43,102,,0,20,0,0.0,0.0,,0,0,0.0,0.0,0.0,,0,0,0,131,0.0,0.00,2023-07-26T11:24:14.392215Z,0.0,0.0,0.0,0,0,20,0.0,0.0,False,71,0.0,On loan to Bristol Rovers for the season,0.0,0.0,131,45,0.0,638,45,0,0.00,615,Cox,0.0,43,0,0,72,102,102,0,u,0.00,0.00,0,102,43,43,0.0
98,Mikkel Damsgaard,50,MID,Brentford,162,468,,0,44,0,0.0,0.0,,46,0,0.0,0.0,0.1,,0,0,0,479,0.0,0.00,,1.6,0.0,0.0,0,46,44,0.0,0.0,False,136,,,0.0,0.0,479,168,1.6,276,168,0,0.00,414,Damsgaard,,162,0,0,178,468,468,0,a,0.00,0.00,0,468,162,162,0.0
99,Josh Dasilva,50,MID,Brentford,130,414,4.0,0,32,0,0.0,0.0,,51,0,0.0,0.0,0.1,,0,0,0,429,0.0,0.00,2023-08-06T23:30:05.481868Z,1.6,0.0,0.0,0,51,32,0.0,0.0,False,131,100.0,,0.0,0.0,429,138,1.6,222,138,0,0.00,405,Dasilva,100.0,130,0,0,146,414,414,0,a,0.00,0.00,0,414,130,130,0.0
100,Halil Dervişoğlu,45,FWD,Brentford,13,275,,0,12,0,0.0,0.0,,0,0,0.0,0.0,0.0,,0,0,0,300,0.0,0.00,2023-07-19T08:49:49.674290Z,0.0,0.0,0.0,0,0,12,0.0,0.0,False,80,0.0,Transfer to Galatasaray on a permanent basis,0.0,0.0,300,17,0.0,471,17,0,0.00,602,Dervişoğlu,0.0,13,0,0,74,275,275,0,u,0.00,0.00,0,275,13,13,0.0
101,Mark Flekken,45,GKP,Brentford,55,159,,0,119,0,0.0,0.0,,168,0,0.0,0.0,2.0,,0,0,0,188,0.0,0.00,,2.3,0.0,0.0,0,168,119,0.0,0.0,False,17,,,0.0,0.0,188,57,2.3,355,57,0,0.00,128,Flekken,,55,0,0,22,159,159,0,a,0.00,0.00,0,159,55,55,0.0
102,Charlie Goode,40,DEF,Brentford,27,56,,0,20,0,0.0,0.0,,17,0,0.0,0.0,0.2,,0,0,0,87,0.0,0.00,,1.0,0.0,0.0,0,17,20,0.0,0.0,False,145,,,0.0,0.0,87,38,1.0,592,38,0,0.00,378,Goode,,27,0,0,178,56,56,0,a,0.00,0.00,0,56,27,27,0.0
103,Rico Henry,45,DEF,Brentford,120,195,,0,114,0,0.0,0.0,,174,0,0.0,0.0,2.1,,0,0,0,223,0.0,0.00,2023-08-06T23:30:05.495330Z,2.0,0.0,0.0,0,174,114,0.0,0.0,False,42,100.0,,0.0,0.0,223,128,2.0,391,128,0,0.00,122,Henry,100.0,120,0,0,91,195,195,0,a,0.00,0.00,0,195,120,120,0.0
104,Aaron Hickey,45,DEF,Brentford,172,295,,0,42,0,0.0,0.0,,14,0,0.0,0.0,0.3,,0,0,0,319,0.0,0.00,,2.0,0.0,0.0,0,14,42,0.0,0.0,False,94,,,0.0,0.0,319,178,2.0,491,178,0,0.00,260,Hickey,,172,0,0,143,295,295,0,a,0.00,0.00,0,295,172,172,0.0
105,Vitaly Janelt,55,MID,Brentford,207,536,,0,39,0,0.0,0.0,,6,0,0.0,0.0,0.1,,0,0,0,542,0.0,0.00,,2.1,0.0,0.0,0,6,39,0.0,0.0,False,161,,,0.0,0.0,542,210,2.1,120,210,0,0.00,459,Janelt,,207,0,0,75,536,536,0,a,0.00,0.00,0,536,207,207,0.0
106,Mathias Jensen,55,MID,Brentford,208,538,,0,202,0,0.0,0.0,2.0,47,0,0.0,0.0,1.0,2.0,0,0,0,544,0.0,0.00,,2.1,0.0,0.0,0,47,202,0.0,0.0,False,58,,,0.0,0.0,544,211,2.1,122,211,0,0.00,176,Jensen,,208,0,0,76,538,538,0,a,0.00,0.00,0,538,208,208,0.0
107,Keane Lewis-Potter,50,MID,Brentford,155,459,,0,6,0,0.0,0.0,,7,0,0.0,0.0,0.0,,0,0,0,471,0.0,0.00,,1.6,0.0,0.0,0,7,6,0.0,0.0,False,201,,,0.0,0.0,471,161,1.6,267,161,0,0.00,540,Lewis-Potter,,155,0,0,171,459,459,0,a,0.00,0.00,0,459,155,155,0.0
108,Bryan Mbeumo,65,MID,Brentford,248,602,2.0,0,697,0,0.0,0.0,1.0,1313,0,0.0,0.0,8.8,3.0,0,0,0,605,0.0,0.00,2023-08-06T23:30:05.510200Z,2.3,0.0,0.0,0,1313,697,0.0,0.0,False,12,100.0,,0.0,0.0,605,249,2.3,53,249,0,0.00,43,Mbeumo,100.0,248,0,0,32,602,602,0,a,0.00,0.00,0,602,248,248,0.0
109,Ben Mee,50,DEF,Brentford,183,350,,0,568,0,0.0,0.0,,660,0,0.0,0.0,7.0,,0,0,0,373,0.0,0.00,,2.3,0.0,0.0,0,660,568,0.0,0.0,False,19,,,0.0,0.0,373,188,2.3,158,188,0,0.00,51,Mee,,183,0,0,14,350,350,0,a,0.00,0.00,0,350,183,183,0.0
110,Christian Nørgaard,55,MID,Brentford,190,513,,0,41,0,0.0,0.0,,14,0,0.0,0.0,0.1,,0,0,0,520,0.0,0.00,,2.1,0.0,0.0,0,14,41,0.0,0.0,False,127,,,0.0,0.0,520,194,2.1,97,194,0,0.00,396,Nørgaard,,190,0,0,58,513,513,0,a,0.00,0.00,0,513,190,190,0.0
111,Frank Onyeka,50,MID,Brentford,158,462,,0,18,0,0.0,0.0,,0,0,0.0,0.0,0.0,,0,0,0,474,0.0,0.00,2023-08-06T23:30:05.525477Z,1.2,0.0,0.0,0,0,18,0.0,0.0,False,259,75.0,Dead leg - 75% chance of playing,0.0,0.0,474,164,1.2,270,164,0,0.00,622,Onyeka,75.0,158,0,0,174,462,462,0,d,0.00,0.00,0,462,158,158,0.0
112,Ethan Pinnock,45,DEF,Brentford,152,238,,0,115,0,0.0,0.0,,69,0,0.0,0.0,2.2,,0,0,0,265,0.0,0.00,,2.0,0.0,0.0,0,69,115,0.0,0.0,False,40,,,0.0,0.0,265,159,2.0,434,159,0,0.00,120,Pinnock,,152,0,0,123,238,238,0,a,0.00,0.00,0,238,152,152,0.0
113,David Raya Martin,50,GKP,Brentford,67,395,,0,1239,0,0.0,0.0,,257,0,0.0,0.0,5.7,,0,0,0,413,0.0,0.00,,3.2,0.0,0.0,0,257,1239,0.0,0.0,False,12,,,0.0,0.0,413,68,3.2,203,68,0,0.00,65,Raya,,67,0,0,8,395,395,0,a,0.00,0.00,0,395,67,67,0.0
114,Mads Roerslev Rasmussen,45,DEF,Brentford,151,237,,0,18,0,0.0,0.0,,2,0,0.0,0.0,0.1,,0,0,0,264,0.0,0.00,,2.0,0.0,0.0,0,2,18,0.0,0.0,False,185,,,0.0,0.0,264,158,2.0,433,158,0,0.00,489,Roerslev,,151,0,0,122,237,237,0,a,0.00,0.00,0,237,151,151,0.0
115,Kevin Schade,55,MID,Brentford,225,562,,0,39,0,0.0,0.0,,17,0,0.0,0.0,0.1,,0,0,0,566,0.0,0.00,,2.1,0.0,0.0,0,17,39,0.0,0.0,False,146,,,0.0,0.0,566,227,2.1,146,227,0,0.00,431,Schade,,225,0,0,93,562,562,0,a,0.00,0.00,0,562,225,225,0.0
116,Thomas Strakosha,40,GKP,Brentford,22,36,,0,36,0,0.0,0.0,,104,0,0.0,0.0,0.5,,0,0,0,67,0.0,0.00,,1.0,0.0,0.0,0,104,36,0.0,0.0,False,34,,,0.0,0.0,67,24,1.0,572,24,0,0.00,229,Strakosha,,22,0,0,51,36,36,0,a,0.00,0.00,0,36,22,22,0.0
117,Ivan Toney,80,FWD,Brentford,78,630,1.0,0,284,0,0.0,0.0,,85,0,0.0,0.0,0.1,1.0,0,0,0,631,0.0,0.00,2023-07-05T16:30:03.752728Z,0.0,0.0,0.0,0,85,284,0.0,0.0,False,62,0.0,Suspended until 17 Jan,0.0,0.0,631,79,0.0,11,79,0,0.00,413,Toney,0.0,78,0,0,4,630,630,0,s,0.00,0.00,0,630,78,78,0.0
118,Ryan Trevitt,45,MID,Brentford,77,340,,0,11,0,0.0,0.0,,32,0,0.0,0.0,0.0,,0,0,0,363,0.0,0.00,2023-07-18T20:00:03.847234Z,1.0,0.0,0.0,0,32,11,0.0,0.0,False,227,100.0,,0.0,0.0,363,90,1.0,536,90,0,0.00,574,Trevitt,100.0,77,0,0,274,340,340,0,a,0.00,0.00,0,340,77,77,0.0
119,Yoane Wissa,60,FWD,Brentford,62,581,,0,618,0,0.0,0.0,,578,0,0.0,0.0,5.0,,0,0,0,585,0.0,0.00,,2.1,0.0,0.0,0,578,618,0.0,0.0,False,12,,,0.0,0.0,585,64,2.1,73,64,0,0.00,70,Wissa,,62,0,0,25,581,581,0,a,0.00,0.00,0,581,62,62,0.0
120,Yegor Yarmolyuk,45,MID,Brentford,66,325,,0,391,0,0.0,0.0,,352,0,0.0,0.0,0.8,,0,0,0,348,0.0,0.00,,1.0,0.0,0.0,0,352,391,0.0,0.0,False,62,,,0.0,0.0,348,79,1.0,521,79,0,0.00,186,Yarmolyuk,,66,0,0,263,325,325,0,a,0.00,0.00,0,325,66,66,0.0
121,Mathias Jorgensen,45,DEF,Brentford,69,116,,0,23,0,0.0,0.0,,3,0,0.0,0.0,0.1,,0,0,0,145,0.0,0.00,,2.0,0.0,0.0,0,3,23,0.0,0.0,False,168,,,0.0,0.0,145,78,2.0,312,78,0,0.00,444,Zanka,,69,0,0,40,116,116,0,a,0.00,0.00,0,116,69,69,0.0
620,Michale Olakigbe,45,MID,Brentford,64,323,,0,7,0,0.0,0.0,,9,0,0.0,0.0,0.0,,0,0,0,346,0.0,0.00,,1.0,0.0,0.0,0,9,7,0.0,0.0,False,252,,,0.0,0.0,346,77,1.0,519,77,0,0.00,614,Olakigbe,,64,0,0,261,323,323,0,a,0.00,0.00,0,323,64,64,0.0
122,Simon Adingra,50,MID,Brighton,178,493,,0,62,0,0.0,0.0,,71,0,0.0,0.0,0.2,,0,0,0,501,0.0,0.00,,2.1,0.0,0.0,0,71,62,0.0,0.0,False,94,,,0.0,0.0,501,182,1.6,301,182,0,0.00,317,Adingra,,178,0,0,194,493,493,0,a,0.00,0.00,0,493,178,178,0.0
123,Steven Alzate,45,MID,Brighton,24,248,,0,54,0,0.0,0.0,,98,0,0.0,0.0,0.2,,0,0,0,275,0.0,0.00,,1.5,0.0,0.0,0,98,54,0.0,0.0,False,119,,,0.0,0.0,275,38,1.0,444,38,0,0.00,377,Alzate,,24,0,0,221,248,248,0,a,0.00,0.00,0,248,24,24,0.0
124,Yasin Ayari,45,MID,Brighton,67,326,,0,14,0,0.0,0.0,,29,0,0.0,0.0,0.1,,0,0,0,349,0.0,0.00,,1.5,0.0,0.0,0,29,14,0.0,0.0,False,171,,,0.0,0.0,349,80,1.0,522,80,0,0.00,488,Ayari,,67,0,0,264,326,326,0,a,0.00,0.00,0,326,67,67,0.0
125,Facundo Buonanotte,50,MID,Brighton,181,496,,0,14,0,0.0,0.0,,23,0,0.0,0.0,0.1,,0,0,0,504,0.0,0.00,,2.1,0.0,0.0,0,23,14,0.0,0.0,False,173,,,0.0,0.0,504,185,1.6,304,185,0,0.00,491,Buonanotte,,181,0,0,197,496,496,0,a,0.00,0.00,0,496,181,181,0.0
126,Moisés Caicedo Corozo,50,MID,Brighton,170,482,,0,1390,0,0.0,0.0,,1594,0,0.0,0.0,3.4,,0,0,0,492,0.0,0.00,,2.1,0.0,0.0,0,1594,1390,0.0,0.0,False,34,,,0.0,0.0,492,176,1.6,290,176,0,0.00,95,Caicedo,,170,0,0,186,482,482,0,a,0.00,0.00,0,482,170,170,0.0
127,Aaron Connolly,45,FWD,Brighton,8,246,,0,115,0,0.0,0.0,,0,0,0.0,0.0,0.1,,0,0,0,273,0.0,0.00,2023-08-04T09:39:43.029546Z,0.0,0.0,0.0,0,0,115,0.0,0.0,False,68,0.0,Permanent move to Hull City,0.0,0.0,273,12,0.0,442,12,0,0.00,483,Connolly,0.0,8,0,0,69,246,246,0,u,0.00,0.00,0,246,8,8,0.0
128,Mahmoud Dahoud,50,MID,Brighton,122,404,,0,40,0,0.0,0.0,,61,0,0.0,0.0,0.2,,0,0,0,422,0.0,0.00,,2.1,0.0,0.0,0,61,40,0.0,0.0,False,124,,,0.0,0.0,422,133,1.6,212,133,0,0.00,386,Dahoud,,122,0,0,138,404,404,0,a,0.00,0.00,0,404,122,122,0.0
129,Lewis Dunk,50,DEF,Brighton,186,363,,0,487,0,0.0,0.0,,668,0,0.0,0.0,4.5,3.0,0,0,0,384,0.0,0.00,,2.8,0.0,0.0,0,668,487,0.0,0.0,False,26,,,0.0,0.0,384,190,2.3,171,190,0,0.00,79,Dunk,,186,0,0,17,363,363,0,a,0.00,0.00,0,363,186,186,0.0
130,Julio Enciso,55,MID,Brighton,223,558,,0,925,0,0.0,0.0,,737,0,0.0,0.0,4.5,,0,0,0,563,0.0,0.00,,2.6,0.0,0.0,0,737,925,0.0,0.0,False,26,,,0.0,0.0,563,225,2.1,142,225,0,0.00,80,Enciso,,223,0,0,91,558,558,0,a,0.00,0.00,0,558,223,223,0.0
